shot,signal_ok,primary_p95,n_elms,n_elms_lower,n_elms_upper,both_live,coincidence_frac,elm_freq_hz,median_dt,mean_dt,cv_dt,min_dt,max_dt,weibull_k,t_first,t_last,window_s,t_lo,t_hi,dt_s
141313,True,4.159999847412109,24,24,38,True,0.8333333333333334,36.144580094513984,0.017000019550323486,0.023260868113973866,1.096245827656269,0.0,0.1258000135421753,1.1586654816347979,0.23960000276565552,0.7745999693870544,0.66399996727705,0.11420000344514847,0.7781999707221985,0.00020003318786621094
141314,True,3.984999895095825,12,12,19,True,0.9166666666666666,17.85714270192243,0.02340000867843628,0.03529090908440677,0.9765281387206672,0.0,0.11779999732971191,1.3183629965432937,0.23319999873638153,0.621399998664856,0.6720000058412552,0.11400000751018524,0.7860000133514404,0.00020003318786621094
141318,True,1.7284999847412101,12,12,0,False,,16.73173565670681,0.027599990367889404,0.04452727057717063,1.1311093835420043,-0.00019997358322143555,0.165399968624115,1.0434327753083068,0.30720001459121704,0.796999990940094,0.7171999514102936,0.09040001034736633,0.8075999617576599,0.00020003318786621094
141319,True,1.649999976158142,9,9,0,False,,12.054647943894194,0.03299999237060547,0.07342499494552612,1.1711369098928788,0.000599980354309082,0.25519999861717224,0.6900384330728344,0.2152000069618225,0.8025999665260315,0.7465999871492386,0.10360001027584076,0.8501999974250793,0.00020003318786621094
141320,True,1.7699999809265137,11,11,0,False,,16.897081399286787,0.05040000379085541,0.05245999991893768,0.9213322725922622,0.0055999755859375,0.17979997396469116,1.1292799634345259,0.21860000491142273,0.7432000041007996,0.6510000005364418,0.09940000623464584,0.7504000067710876,0.00020003318786621094
141321,True,2.0399999618530273,16,16,0,False,,21.52273424893429,0.02499997615814209,0.035520001252492266,0.9463497172148403,-0.00019997358322143555,0.1218000054359436,1.314339315587058,0.28299999237060547,0.8158000111579895,0.7433999702334404,0.10380000621080399,0.8471999764442444,0.00020003318786621094
141322,True,1.7300000190734863,10,10,0,False,,14.104372229742276,0.028599977493286133,0.057533333698908486,1.1781615698138665,-0.0003999471664428711,0.20059996843338013,0.7103383716812739,0.2930000126361847,0.8108000159263611,0.7090000063180923,0.1298000067472458,0.8388000130653381,0.00020003318786621094
141326,True,1.0259999752044668,17,17,0,False,,17.013610294688757,0.04670003056526184,0.047337502241134644,0.8477967231514049,-0.00020000338554382324,0.15520000457763672,1.1014311972650805,0.23919999599456787,0.9966000318527222,0.9992000348865986,0.04200000688433647,1.041200041770935,0.00020003318786621094
141448,True,2.849500024318693,18,18,0,False,,27.855155076893062,0.007999956607818604,0.021800000877941355,1.325892822441433,0.0,0.09179997444152832,0.7003533256672483,0.40459999442100525,0.7752000093460083,0.646199956536293,0.13840000331401825,0.7845999598503113,0.00020003318786621094
141450,True,2.64799995422363,21,21,0,False,,19.03553319156699,0.019699975848197937,0.04478999972343445,1.1741411780941098,0.0,0.189799964427948,0.8800241134473936,0.33480000495910645,1.2305999994277954,1.103199988603592,0.14320001006126404,1.246399998664856,0.00020003318786621094
141456,True,1.059999942779541,7,7,0,False,,12.50893538469109,0.010300010442733765,0.014166673024495443,1.2935795850791876,0.0,0.053799986839294434,1.004429821010385,0.49879997968673706,0.5838000178337097,0.559599980711937,0.036600008606910706,0.5961999893188477,0.00020003318786621094
141461,True,3.0379999637603685,10,10,0,False,,18.47745861947011,0.01600000262260437,0.039422217342588634,1.4291043887220438,0.0,0.18780001997947693,0.722019505308447,0.3562000095844269,0.7109999656677246,0.5411999672651291,0.1738000065088272,0.7149999737739563,0.00020003318786621094
141464,True,4.7759998559951775,7,7,0,False,,17.596783027209604,0.03299999237060547,0.041233330965042114,0.790004440742886,0.004800021648406982,0.09839999675750732,1.1991782684564158,0.2896000146865845,0.5370000004768372,0.3977999836206436,0.16860000789165497,0.5663999915122986,0.00020003318786621094
141745,True,0.6200000047683716,14,14,0,False,,26.68699947048471,0.02039998769760132,0.037384612629046805,1.5414843714636675,-0.00020000338554382324,0.22420000284910202,0.7688662135020219,0.04400000721216202,0.5299999713897705,0.5246000029146671,0.007800009101629257,0.5324000120162964,0.00020003318786621094
141747,True,0.6399999856948853,14,14,0,False,,26.45502604815224,0.016799986362457275,0.03716923095859014,1.4452384315272753,0.00020000338554382324,0.21359999850392342,0.7796075452689294,0.04380000755190849,0.5270000100135803,0.5292000081390142,9.313225746154785e-09,0.52920001745224,0.00020003318786621094
141919,True,0.28999999165534973,14,14,0,False,,27.580772254660214,0.003600001335144043,0.01530769238105187,1.1166623779916725,-0.0006000101566314697,0.049400001764297485,0.8058197555647968,0.24279999732971191,0.44179999828338623,0.50760000012815,9.313225746154785e-09,0.5076000094413757,0.00020003318786621094
141920,True,0.2909999907016745,9,9,0,False,,18.472907062617328,0.017799988389015198,0.024974998086690903,0.9609312207639654,0.006600022315979004,0.085999995470047,1.2251445852252965,0.24860000610351562,0.44839999079704285,0.4871999826282263,9.313225746154785e-09,0.487199991941452,0.00020003318786621094
141922,True,0.7849999666213989,17,17,0,False,,27.81413556743149,0.01920001208782196,0.02043750137090683,0.981684364622439,-0.00020000338554382324,0.06439998745918274,1.2141607244808348,0.251800000667572,0.5788000226020813,0.6112000122666359,0.0010000094771385193,0.6122000217437744,0.00020003318786621094
142000,True,0.22999998927116394,8,8,0,False,,14.847810173142237,0.03180000185966492,0.05002857318946293,0.9228017098192645,0.016800016164779663,0.15859998762607574,1.2662013012320559,0.1510000079870224,0.5012000203132629,0.5387999918311834,9.313225746154785e-09,0.5388000011444092,0.00020003318786621094
142001,True,0.2502499997615801,7,7,0,False,,13.363879186703421,0.03769998252391815,0.0724666640162468,1.3524085113652464,0.002400010824203491,0.28759999573230743,0.7606821725096211,0.054200008511543274,0.48899999260902405,0.5238000061362982,9.313225746154785e-09,0.5238000154495239,0.00020003318786621094
142006,True,0.5399999618530273,11,11,0,False,,19.203911575820864,0.01739998161792755,0.04585999771952629,1.3676924679021532,0.008400022983551025,0.20599999278783798,0.8611214525534872,0.05100000649690628,0.5095999836921692,0.5727999713271856,9.313225746154785e-09,0.5727999806404114,0.00020003318786621094
